Francesco Molinari,29.48,,,,,,
Brett Stegmaier,29.48,,,,,,
Nick Taylor,29.48,,,,,,
Jonathan Byrd,29.5,,,,,,
Jason Dufner,29.5,,,,,,
James Hahn,29.5,,,,,,
Billy Horschel,29.51,,,,,,
Robert Streb,29.51,,,,,,
Patrick Cantlay,29.52,,,,,,
Harold Varner III,29.52,,,,,,
Kevin Chappell,29.53,,,,,,
Stewart Cink,29.55,,,,,,
Tom Lovelady,29.56,,,,,,
Bronson Burgoon,29.57,,,,,,
David Hearn,29.58,,,,,,
J.J. Spaun,29.58,,,,,,
Lucas Glover,29.59,,,,,,
Keith Mitchell,29.6,,,,,,
Stephan Jaeger,29.61,,,,,,
Kyle Thompson,29.61,,,,,,
Michael Thompson,29.62,,,,,,
Geoff Ogilvy,29.63,,,,,,
Satoshi Kodaira,29.64,,,,,,
Jason Kokrak,29.65,,,,,,
Blayne Barber,29.66,,,,,,
Henrik Stenson,29.66,,,,,,
Sergio Garcia,29.67,,,,,,
Xinjun Zhang,29.67,,,,,,
Russell Henley,29.71,,,,,,
C.T. Pan,29.71,,,,,,
Kevin Streelman,29.71,,,,,,
Chad Campbell,29.75,,,,,,
Keegan Bradley,29.76,,,,,,
Russell Knox,29.77,,,,,,
Kyle Stanley,29.81,,,,,,
Cameron Tringale,29.81,,,,,,
Shane Lowry,29.83,,,,,,
Scott Piercy,29.83,,,,,,
Corey Conners,29.84,,,,,,
Sam Ryder,29.88,,,,,,
Adam Schenk,29.95,,,,,,
Zecheng Dou,30,,,,,,
Adam Scott,30.03,,,,,,
Hudson Swafford,30.03,,,,,,
Tyler Duncan,30.07,,,,,,
Brendan Steele,30.16,,,,,,
Gary Woodland,30.16,,,,,,
Andrew Yun,30.2,,,,,,
J.J. Henry,30.37,,,,,,
