Tiger Woods,56.35,,,,,
Rob Oppenheim,56.26,,,,,
Cameron Smith,56.22,,,,,
Grayson Murray,56,,,,,
Nick Watney,55.96,,,,,
Scott Stallings,55.85,,,,,
Dominic Bozzelli,55.69,,,,,
Matt Every,55.5,,,,,
Cody Gribble,55.45,,,,,
Wesley Bryan,55.41,,,,,
Retief Goosen,55.22,,,,,
Seamus Power,55.19,,,,,
Padraig Harrington,55.18,,,,,
Rory McIlroy,55.08,,,,,
Trey Mullinax,54.98,,,,,
Martin Flores,54.92,,,,,
Patton Kizzire,54.89,,,,,
Charl Schwartzel,54.86,,,,,
Michael Kim,54.82,,,,,
Brandon Harkins,54.79,,,,,
Zecheng Dou,54.76,,,,,
Tom Lovelady,54.73,,,,,
Daniel Summerhays,54.69,,,,,
Lanto Griffin,54.52,,,,,
Patrick Reed,54.24,,,,,
Luke List,54.19,,,,,
Robert Streb,54.11,,,,,
Andrew Yun,53.58,,,,,
Tony Finau,53.3,,,,,
Derek Fathauer,53.27,,,,,
Peter Uihlein,52.59,,,,,
Jimmy Walker,52.54,,,,,
Kevin Tway,52.43,,,,,
Ollie Schniederjans,52.42,,,,,
Aaron Baddeley,52.18,,,,,
Phil Mickelson,52.16,,,,,
Cameron Tringale,51.99,,,,,
Camilo Villegas,50.48,,,,,
Ricky Barnes,47.15,,,,,
Smylie Kaufman,40.85,,,,,
